class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,Meilleure config. fixe (oracle)
MKP-OR10x100,0.3823755694904805,0.32171342606773673,0.32061695202664775,0.31551215991119763,0.30113725979957867,0.3250175739050842
MKP-OR5x100,0.20003170654847532,0.13813214599134563,0.13707856604150892,0.1441039060531266,0.1414054586931793,0.11108495302058279
MKP-OR5x250,0.13325088606117205,0.09590412893055705,0.08457776490416101,0.10062098876464454,0.08999573271791875,0.0753199863046727
MKP-weing,0.12663520513839227,0.10026598107616425,0.11497466194406368,0.13731202997352934,0.16412761685563673,0.10021653871790805
