class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,Meilleure config. fixe (oracle)
MKP-OR10x100,0.8076787450068005,0.5782987261908561,0.5875776422720774,0.6060795665390935,0.6290722727091322,0.5257749173603458
MKP-OR5x100,0.25201516001202096,0.1641384748452734,0.1605122354204188,0.1730615584386628,0.15879780014481137,0.12651639616825294
MKP-OR5x250,0.34447727953602764,0.2288712560164693,0.2236600197739035,0.22971555680897723,0.21114612180846698,0.18414875878819134
MKP-weing,0.040486394049263776,0.025222736657319583,0.03574437269186185,0.043270307058003735,0.06192037233519927,0.02515427133044329
Moyenne,0.3345845896238452,0.2275454475981037,0.2278223907690908,0.23958552488111418,0.23554277462417117,0.1913097037444225
