class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,Meilleure config. fixe (oracle)
MKP-OR10x100,4.0,2.0,3.0,2.0,2.0,9.0
MKP-OR5x100,8.666666666666668,14.000000000000002,14.000000000000002,14.000000000000002,14.666666666666666,18.666666666666668
MKP-OR5x250,1.0,0.0,0.0,0.0,1.0,0.0
MKP-weing,81.25,83.75,82.5,80.0,76.25,83.75
Moyenne,16.551724137931036,19.137931034482758,19.137931034482758,18.620689655172416,18.620689655172416,22.758620689655174
