episode,instance,class,n,value,eps,action_hist
49,SC_n100_R1000_s501,SC,100,33686.0,0.21007782413258924,"[16, 15, 21, 15, 38, 10, 35, 34, 16]"
50,WC_n100_R1000_s500,WC,100,27091.0,0.2036234609540494,"[32, 8, 17, 62, 9, 27, 12, 23, 10]"
51,ISC_n100_R1000_s501,ISC,100,28536.0,0.19736739954397303,"[61, 13, 6, 5, 8, 10, 69, 22, 6]"
52,SS_n200_R1000_s501,SS,200,50808.0,0.19130354734291063,"[96, 7, 5, 5, 9, 12, 43, 15, 8]"
53,WC_n200_R1000_s500,WC,200,53168.0,0.18542599897723994,"[49, 18, 6, 9, 13, 18, 38, 44, 5]"
54,WC_n100_R1000_s500,WC,100,27091.0,0.17972903050812927,"[30, 8, 15, 52, 8, 12, 38, 24, 13]"
55,UC_n100_R1000_s500,UC,100,36954.0,0.1742070938571946,"[15, 20, 20, 52, 23, 14, 12, 21, 23]"
56,SS_n200_R1000_s501,SS,200,50808.0,0.16885481140341846,"[82, 5, 6, 18, 6, 6, 41, 28, 8]"
57,ISC_n100_R1000_s500,ISC,100,26865.0,0.1636669707460738,"[18, 6, 12, 69, 15, 16, 25, 31, 8]"
58,WC_n200_R1000_s501,WC,200,55710.0,0.1586385196285492,"[29, 14, 10, 18, 9, 17, 34, 42, 27]"
59,WC_n200_R1000_s500,WC,200,53168.0,0.15376456101813268,"[27, 20, 3, 21, 17, 15, 45, 42, 10]"
60,ISC_n100_R1000_s501,ISC,100,28535.0,0.14904034833696264,"[48, 10, 3, 53, 5, 8, 54, 10, 9]"
61,WC_n100_R1000_s501,WC,100,29255.0,0.1444612808395016,"[52, 14, 15, 29, 20, 8, 39, 18, 5]"
62,UC_n100_R1000_s501,UC,100,38376.0,0.14002289913203178,"[41, 9, 10, 40, 18, 10, 33, 27, 12]"
63,ISC_n200_R1000_s500,ISC,200,51186.0,0.13572088082980582,"[25, 7, 10, 35, 11, 30, 65, 13, 4]"
64,ASC_n200_R1000_s500,ASC,200,61711.0,0.13155103634762944,"[14, 66, 10, 12, 22, 7, 9, 47, 13]"
65,WC_n100_R1000_s500,WC,100,27091.0,0.12750930481976946,"[11, 27, 11, 56, 12, 12, 29, 36, 6]"
66,ISC_n100_R1000_s501,ISC,100,28536.0,0.12359175014521925,"[58, 7, 9, 14, 2, 21, 57, 29, 3]"
67,UC_n100_R1000_s501,UC,100,38376.0,0.11979455715446763,"[22, 42, 11, 28, 14, 11, 25, 33, 14]"
68,SC_n200_R1000_s501,SC,200,64708.0,0.11611402789403845,"[14, 66, 11, 10, 8, 8, 24, 47, 12]"
69,ISC_n100_R1000_s500,ISC,100,26865.0,0.112546578025183,"[10, 36, 17, 12, 28, 8, 38, 33, 18]"
70,WC_n200_R1000_s501,WC,200,55703.0,0.109088733333218,"[20, 8, 1, 73, 17, 18, 19, 37, 7]"
71,WC_n200_R1000_s500,WC,200,53168.0,0.10573712634410949,"[15, 8, 3, 82, 10, 22, 21, 31, 8]"
72,ASC_n100_R1000_s500,ASC,100,32084.0,0.10248849304500733,"[13, 30, 32, 6, 46, 14, 27, 21, 11]"
73,ASC_n100_R1000_s500,ASC,100,32084.0,0.09933966970553743,"[16, 49, 27, 15, 11, 17, 11, 48, 6]"
74,SC_n200_R1000_s500,SC,200,61685.0,0.09628758979675535,"[8, 59, 8, 19, 24, 8, 7, 27, 40]"
75,SC_n200_R1000_s500,SC,200,61685.0,0.09332928100476076,"[8, 16, 8, 35, 46, 6, 10, 31, 40]"
76,ASC_n100_R1000_s501,ASC,100,33684.0,0.09046186233606524,"[13, 49, 28, 10, 10, 27, 15, 43, 5]"
77,UC_n200_R1000_s500,UC,200,85120.0,0.08768254131189303,"[13, 32, 10, 19, 40, 9, 11, 28, 38]"
78,ISC_n200_R1000_s501,ISC,200,54309.0,0.08498861124868412,"[28, 10, 22, 22, 13, 30, 31, 38, 6]"
79,SS_n100_R1000_s500,SS,100,25188.0,0.08237744862214934,"[14, 29, 26, 21, 19, 11, 46, 17, 17]"
80,WC_n100_R1000_s501,WC,100,29251.0,0.079846510512312,"[18, 3, 12, 38, 14, 74, 18, 12, 11]"
81,UC_n200_R1000_s500,UC,200,85120.0,0.07739333212704697,"[22, 18, 12, 14, 45, 20, 13, 38, 18]"
82,UC_n200_R1000_s500,UC,200,85120.0,0.07501552440170584,"[8, 29, 17, 18, 41, 18, 15, 35, 19]"
83,ASC_n200_R1000_s500,ASC,200,61713.0,0.07271077167249045,"[10, 22, 12, 9, 37, 18, 8, 74, 10]"
84,WC_n100_R1000_s500,WC,100,27091.0,0.07047682942130852,"[14, 20, 18, 18, 22, 10, 38, 45, 15]"
85,UC_n200_R1000_s500,UC,200,85120.0,0.06831152208991666,"[19, 28, 14, 10, 52, 20, 13, 22, 22]"
86,UC_n200_R1000_s501,UC,200,80860.0,0.0662127409612198,"[10, 10, 6, 56, 11, 39, 34, 20, 14]"
87,ISC_n100_R1000_s500,ISC,100,26865.0,0.06417844210566533,"[23, 17, 20, 20, 31, 9, 26, 37, 17]"
88,SS_n100_R1000_s501,SS,100,26886.0,0.06220664439073169,"[24, 16, 19, 19, 22, 13, 30, 37, 20]"
89,UC_n100_R1000_s500,UC,100,36954.0,0.060295427551572724,"[18, 21, 32, 17, 32, 17, 18, 29, 16]"
90,SC_n100_R1000_s500,SC,100,32088.0,0.05844293032093896,"[11, 53, 25, 12, 5, 12, 11, 64, 7]"
91,ASC_n100_R1000_s501,ASC,100,33684.0,0.05664734861655407,"[10, 47, 33, 10, 29, 46, 10, 8, 7]"
92,SS_n200_R1000_s500,SS,200,47585.0,0.05490693378418298,"[22, 3, 9, 32, 9, 76, 38, 8, 3]"
93,SC_n200_R1000_s500,SC,200,61685.0,0.053219990894677945,"[15, 17, 43, 22, 20, 16, 21, 29, 17]"
94,WC_n100_R1000_s501,WC,100,29257.0,0.05158487709334666,"[18, 4, 11, 18, 7, 85, 47, 7, 3]"
95,SC_n200_R1000_s501,SC,200,64708.0,0.050000000000033525,"[19, 18, 36, 15, 27, 15, 25, 30, 15]"
