class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne)
ASC,0.025312320164417666,0.01669872577491938,0.017205181035053304,0.025795502945650868
SC,0.03922512184764715,0.032564966207911106,0.031173056862302977,0.032564966207911106
UC,0.003081123496620335,0.004155814221434465,0.004265518631852256,0.0062166480584411946
