class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne)
ASC,0.0,0.0,0.0,0.0
SC,0.0,58.333333333333336,66.66666666666666,58.333333333333336
UC,0.0,16.666666666666664,25.0,8.333333333333332
Moyenne,0.0,25.0,30.555555555555557,22.22222222222222
