instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
ASC_n500_R1000_s900,GA-RAND,2,158020.0,2.55708470099853,19700,True,75,0.004079200000000001,158031.0,0.006960659617416836,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-RAND,3,158013.0,3.109385732001101,19700,True,188,0.010174400000000004,158031.0,0.01139017028304573,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-RAND,4,158016.0,2.8678111669978534,19700,True,159,0.0022208,158031.0,0.009491808569204776,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-RAND,5,157924.0,2.5989091509982245,19700,True,65,0.006946400000000003,158031.0,0.06770823446032741,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,0,158019.0,3.0691963440003747,19700,True,174,0.0021504000000000002,158031.0,0.007593446855363821,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,1,157922.0,2.322479808997741,19700,True,81,0.009172000000000005,158031.0,0.06897380893622138,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,2,158016.0,3.127826511001331,19700,True,86,0.007588000000000004,158031.0,0.009491808569204776,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,3,158019.0,3.107783527997526,19700,True,147,0.010656800000000004,158031.0,0.007593446855363821,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,4,158021.0,2.537145602000237,19700,True,191,0.0038656000000000007,158031.0,0.0063278723794698505,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s900,GA-UCB,5,158014.0,2.8659176219989604,19700,True,58,0.0025112000000000016,158031.0,0.010757383045098746,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,0,158703.0,2.462341684000421,19700,True,177,0.002802400000000001,158827.0,0.07807236804825377,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,1,158705.0,1.8771921759980614,19700,True,173,0.0029232000000000004,158827.0,0.07681313630553999,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,2,158706.0,2.6655424819982727,19700,True,156,0.002860000000000001,158827.0,0.07618352043418311,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,3,158702.0,2.2732426900001883,19700,True,98,0.0023544000000000004,158827.0,0.07870198391961064,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,4,158805.0,2.7393567779981822,19700,True,61,0.0012304,158827.0,0.013851549169851474,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA,5,158701.0,2.3820346430002246,19700,True,30,0.002421600000000001,158827.0,0.07933159979096753,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL,0,158814.0,3.0394520469999406,19700,True,47,0.011789600000000008,158827.0,0.008185006327639507,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL,1,158814.0,2.974930911001138,19700,True,117,0.011108000000000003,158827.0,0.008185006327639507,False,pisinger-gen,ASC,500,1
