instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,dp,t_dp,dp_status,milp,t_milp,milp_status,milp_bound
SC_n500_R1000_s900,pisinger-gen,SC,500,1,,157348.0,0.0025703050014271867,158028.82548476453,500,1,0.4950473468794653,1.0,1.3357958638830536,0.6084520914591335,0.5062757244451126,0.004308236061845359,157946.0,0.13424131099964143,optimal,157946.0,30.010784781999973,limite de temps,158009.0
SC_n500_R1000_s901,pisinger-gen,SC,500,1,,158167.0,0.002532238002459053,158937.4234620887,500,1,0.495049148453534,1.0,1.0447627132152453,0.5710377060110385,0.4758511115973328,0.004847338312820042,158841.0,0.12752027699752944,optimal,158841.0,30.007959790000314,limite de temps,158916.0
ASC_n500_R1000_s900,pisinger-gen,ASC,500,1,,157471.0,0.004921112002193695,158086.82710926695,500,1,0.4950473468794653,0.9999891354933236,1.3396195132973194,0.6084520914591335,0.5059886626832016,0.0038954992046319986,158031.0,0.1426645199971972,optimal,158031.0,30.006130589998065,limite de temps,158076.0
ASC_n500_R1000_s901,pisinger-gen,ASC,500,1,,158158.0,0.004391976002807496,158895.75609756098,500,1,0.495049148453534,0.9999880200095889,1.04060992095482,0.5710377060110385,0.47598734854458247,0.004643019522233204,158827.0,0.13379769799939822,optimal,158827.0,30.005831508002302,limite de temps,158884.0
UC_n500_R1000_s900,pisinger-gen,UC,500,1,,211961.0,0.0023108149980544113,212005.76555716354,500,1,0.4950473468794653,-0.07611126893914272,3.3104007829471183,0.6084520914591335,0.55559837819346,0.0002111525459974827,212003.0,0.13593506300094305,optimal,212003.0,0.08332858300127555,optimal,212003.0
UC_n500_R1000_s901,pisinger-gen,UC,500,1,,192743.0,0.0024630099978821818,192781.3765432099,500,1,0.495049148453534,-0.000798430629919074,2.999395106520139,0.5710377060110385,0.6017475114657704,0.00019906768951453332,192766.0,0.13358304099892848,optimal,192766.0,0.09889950200158637,optimal,192766.0
