class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,AG + QL pré-entraîné + φ(I),Meilleure config. fixe (oracle)
ASC,0.06883219751963598,0.023195821465911474,0.023395457211313298,0.02481889641986668,0.0182098589010944,0.0264360473934108,0.016722103909384486
ISC,0.021167484380241255,0.0,0.0,0.0,0.0,0.0,0.0
SC,0.07625064320417847,0.029312537940867803,0.02900289137395419,0.030144976677895816,0.02264869969075952,0.02895848832704396,0.01726999180544355
SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC,0.005195126076811043,0.0032090840310665322,0.003316415776100699,0.0036356100952986497,0.0031815970983296664,0.0039690382755130215,0.00307286562459015
WC,0.008230339857148012,0.006164341987621096,0.005930402503543743,0.0064491201910772565,0.006384837890834016,0.005957367350316845,0.006663860214277158
