class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,AG + QL pré-entraîné + φ(I),Meilleure config. fixe (oracle)
ASC,0.1016063579922318,0.03407774426391161,0.03205277438879335,0.031859214781614915,0.023226072938950366,0.030939575154679304,0.015582123698652996
ISC,0.0052832229565565065,0.0,0.0,0.0,0.0,0.0,0.0
SC,0.11137763576557483,0.025754669104565833,0.027465220589928674,0.027485441922838735,0.015775343405530513,0.025759395116388726,0.008605143942145769
SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC,0.004768427371160477,0.002778201883968991,0.002447787478816938,0.0031416598130280904,0.0019225766856267145,0.003078566218557673,0.0021017235281768055
WC,0.0063152859239363115,0.003890272668972996,0.0036426084280221376,0.003938233848639993,0.0036866219841037756,0.0034606529483866178,0.0032565781742996845
Moyenne,0.03822515500157665,0.01108348132023657,0.010934731814260183,0.011070758394353623,0.0074351025023685615,0.01053969823966872,0.004924261557212543
