class,AG standard,AG op. aléatoires,AG + UCB1,AG + QL (en ligne),AG + QL pré-entraîné,AG + QL pré-entraîné + φ(I),Meilleure config. fixe (oracle)
ASC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISC,76.66666666666667,100.0,100.0,100.0,100.0,100.0,100.0
SC,20.0,47.77777777777778,45.55555555555556,47.77777777777778,63.33333333333333,50.0,76.66666666666667
SS,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UC,30.0,41.11111111111111,52.22222222222223,35.55555555555556,55.55555555555556,40.0,53.333333333333336
WC,18.88888888888889,24.444444444444443,26.666666666666668,23.333333333333332,25.555555555555554,28.888888888888886,32.22222222222222
Moyenne,40.925925925925924,52.22222222222223,54.074074074074076,51.11111111111111,57.407407407407405,53.148148148148145,60.370370370370374
